,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,data_frame,cv_train_size,cv_test_size,lag_time,scoring_method,features_to_use
2,0.0011746406555175782,0.00012591240685891304,0.000661158561706543,4.093827514134474e-05,4,{'model__n_neighbors': 4},-6.492527770996094,-6.621926879882812,-14.548448181152343,-1.1654312133789062,-1.491368865966797,-3.971936798095703,-1.2922554016113281,-4.209292602539063,-14.647505187988282,-11.713497161865234,-6.615419006347656,5.005244008131859,1,finbert_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0010707616806030274,0.00013996504577084497,0.0006735086441040039,5.846978808825742e-05,5,{'model__n_neighbors': 5},-6.9831390380859375,-6.5682861328125,-14.346079711914063,-1.0426464843750012,-1.5546160888671863,-3.7713488769531183,-1.7444915771484375,-4.1271234130859344,-15.540872192382801,-11.493013000488286,-6.717161651611326,5.078636433092494,2,finbert_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0011963367462158204,0.0001271995541339013,0.0006585121154785156,5.092265888230559e-05,2,{'model__n_neighbors': 2},-5.931330871582031,-5.70029296875,-10.843606567382812,-3.1093826293945312,-0.862078857421875,-4.260702514648438,-3.253645324707031,-4.698713684082032,-5.698828125,-4.367982482910156,-4.872656402587891,2.4620130465360495,1,finbert_tone_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0011240243911743164,0.00011513767380130373,0.000624990463256836,3.676538180832181e-05,3,{'model__n_neighbors': 3},-5.8771291097005305,-5.352267456054688,-9.390688069661461,-2.419585164388019,-1.5208801269531194,-4.05213623046875,-3.8872863769531194,-3.9561503092447934,-7.192565917968745,-6.0795527140299495,-4.972824147542317,2.193763865653191,3,finbert_tone_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0010891437530517578,0.00012711112978556186,0.0006241559982299805,3.468370873899493e-05,4,{'model__n_neighbors': 4},-5.874815368652344,-4.793046569824218,-7.828370666503906,-4.415596008300781,-1.2404754638671875,-4.133578491210938,-3.95333251953125,-3.8088287353515624,-7.994556427001953,-5.549859619140625,-4.959245986938477,1.8921299629959747,2,finbert_tone_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0010204315185546875,9.830116849056578e-05,0.0016609668731689454,0.002993150497733174,5,{'model__n_neighbors': 5},-6.643251953125002,-4.749418945312504,-8.422692871093739,-4.845448608398442,-1.6307916259765591,-4.1395391845703156,-3.592908325195316,-3.876961669921877,-7.523494262695317,-5.392143859863273,-5.081665130615234,1.9049926138599287,4,finbert_tone_summary_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012115001678466796,0.0001231443016430989,0.0006555318832397461,5.318319080215426e-05,2,{'model__n_neighbors': 2},-4.518405151367188,-7.560397338867188,-3.8894699096679686,-2.1793838500976563,-3.4337844848632812,-4.0551300048828125,-7.043576049804687,-4.743408203125,-12.4126953125,-10.738197326660156,-6.057444763183594,3.1663486783773895,3,finbert_tone_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0011873722076416015,0.0001566992321983949,0.0006504058837890625,4.0586097732056464e-05,3,{'model__n_neighbors': 3},-5.191002400716144,-7.400762939453131,-4.280463663736976,-1.2316945393880245,-1.2757324218749944,-2.770293172200519,-6.999214680989581,-5.60746561686197,-11.359930419921875,-12.020717875162756,-5.813727773030597,3.5615067609487765,1,finbert_tone_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011333703994750976,0.00012226536420693616,0.0006327390670776367,3.257873638115715e-05,4,{'model__n_neighbors': 4},-6.442970275878906,-7.981304168701172,-4.5478462219238285,-0.9925743103027344,-2.145904541015625,-2.753578948974609,-6.842461395263672,-5.607465362548828,-10.530630493164063,-12.66843490600586,-6.05131706237793,3.500432544003293,2,finbert_tone_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.001006770133972168,0.0001307515420378821,0.000652480125427246,5.339011853030094e-05,5,{'model__n_neighbors': 5},-5.646571655273431,-7.995283813476561,-5.007717895507807,-1.0872430419921897,-3.7500543212890705,-3.056196289062501,-6.796081542968755,-5.903825683593754,-10.078738403320324,-12.373760681152344,-6.169547332763673,3.17128639774539,4,finbert_tone_summary_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012392759323120116,8.306671980120647e-05,0.0006891250610351563,5.1557233561908415e-05,2,{'model__n_neighbors': 2},-6.512356567382812,-7.309550476074219,-14.38732452392578,-2.238201904296875,-2.479716491699219,-4.789453125,-2.2879180908203125,-5.194400024414063,-15.7917236328125,-12.243853759765624,-7.32344985961914,4.817784745980021,4,finbert_tone_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012963771820068359,0.00013717011348212432,0.000667119026184082,3.712054773072149e-05,3,{'model__n_neighbors': 3},-6.514340209960937,-7.03985595703125,-14.102424112955736,-1.3260528564453182,-2.4928141276041687,-3.5550150553385436,-2.0228515625,-4.672857666015625,-16.49273681640625,-11.454608662923174,-6.9673557027181,5.051640686646401,3,finbert_tone_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011326074600219727,0.00010703035963509033,0.000639963150024414,5.6371026542643794e-05,4,{'model__n_neighbors': 4},-6.662575531005859,-6.620439910888672,-13.87817611694336,-1.244482421875,-1.8020034790039063,-4.63824462890625,-1.630535888671875,-4.229615783691406,-14.647505187988282,-11.655890655517577,-6.700946960449218,4.786060660157853,1,finbert_tone_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0011056184768676758,6.751516173608657e-05,0.0010851383209228515,0.00032837437205419435,5,{'model__n_neighbors': 5},-7.01248779296875,-6.5682861328125,-14.177124023437495,-1.1605718994140601,-1.8352984619140613,-4.119575195312495,-1.858319091796875,-4.322523193359371,-15.540872192382801,-12.127931823730473,-6.8722989807128885,5.034405857048403,2,finbert_tone_summary_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012435197830200195,0.00012528605053943029,0.0006875753402709961,8.65552341582494e-05,2,{'model__n_neighbors': 2},-6.376531982421875,-6.437992858886719,-8.972589111328125,-3.5757720947265623,-1.5215438842773437,-4.087895202636719,-4.092875671386719,-5.629315185546875,-5.698828125,-4.630177307128906,-5.1023521423339835,1.9090161695804249,4,finbert_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0013315200805664063,0.00015598391547538796,0.000677943229675293,2.8015197573208216e-05,3,{'model__n_neighbors': 3},-5.908198038736987,-5.641132609049481,-8.559124755859376,-2.1152943929036554,-1.3050323486328126,-4.064719645182288,-4.211723836263019,-4.370631917317707,-6.8840189615885325,-4.761936950683594,-4.782181345621745,2.0224129338251586,3,finbert_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.001146388053894043,0.0001261042745320649,0.000643467903137207,3.683045421320111e-05,4,{'model__n_neighbors': 4},-5.819785308837891,-4.956647491455078,-7.828370666503906,-2.6703033447265625,-1.337805938720703,-4.113715362548828,-3.3733184814453123,-3.873879241943359,-6.468045806884765,-4.758296966552734,-4.520016860961914,1.7922678862486299,1,finbert_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0010877370834350586,9.088208825295274e-05,0.0007861614227294922,0.0002485295716111565,5,{'model__n_neighbors': 5},-6.609935913085939,-4.759334106445317,-8.12364807128905,-2.5318322753906273,-1.3733618164062478,-4.184827880859382,-3.637799682617191,-3.296944580078133,-7.029687500000011,-5.1569589233398405,-4.670433074951174,2.003246473691491,2,finbert_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012279510498046874,8.693286744722854e-05,0.0006744861602783203,4.542921976635034e-05,2,{'model__n_neighbors': 2},-6.01959228515625,-7.735903930664063,-5.724789428710937,-3.8199737548828123,-3.1898529052734377,-4.332228088378907,-6.987959289550782,-6.18946533203125,-11.829701232910157,-10.372706604003906,-6.620217285156249,2.6228159831896916,4,finbert_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012299776077270507,0.00015199226304538828,0.000652933120727539,2.7763881924915104e-05,3,{'model__n_neighbors': 3},-6.79727783203125,-7.649968465169275,-5.695706176757812,-2.0578094482421876,-3.358083089192712,-3.6164764404296816,-6.921086629231769,-6.511249796549481,-11.359930419921875,-11.557897440592438,-6.552548573811848,2.988781929360587,3,finbert_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011449337005615234,0.00012878628384139002,0.0006655693054199219,6.300525716066305e-05,4,{'model__n_neighbors': 4},-6.089984893798828,-7.448851776123047,-5.989032745361328,-1.6988182067871094,-2.4873565673828124,-3.4597198486328127,-6.748109436035156,-6.579280853271484,-10.530630493164063,-11.538697814941406,-6.257048263549804,3.013926393751228,1,finbert_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0012476921081542968,0.00019816499224522654,0.0007315874099731445,6.688057619614178e-05,5,{'model__n_neighbors': 5},-5.589459228515613,-7.971487426757813,-5.4265380859375,-1.1272143554687488,-4.391089477539071,-3.7669104003906284,-6.706694946289071,-6.953011474609371,-10.078738403320324,-12.05991729736329,-6.407106109619143,2.9801423878578754,2,finbert_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.001232481002807617,0.00010438101538009438,0.0006736516952514648,6.713650863180582e-05,2,{'model__n_neighbors': 2},-6.512356567382812,-7.505876159667968,-13.772575378417969,-2.349253845214844,-2.2952896118164063,-4.762367248535156,-2.003680419921875,-5.244448852539063,-15.168051147460938,-13.524049377441406,-7.3137948608398435,4.811164109480865,4,finbert_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0012298583984375,0.00012702762900342914,0.0006551504135131836,2.7549976078115757e-05,3,{'model__n_neighbors': 3},-6.456831868489587,-6.653160603841144,-13.967574055989592,-2.0425404866536496,-1.1298563639322878,-4.80235595703125,-1.3810017903645815,-5.055727132161462,-14.26378173828125,-12.847037251790374,-6.859986724853518,4.847006481769808,2,finbert_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.001105332374572754,0.00010436790388410294,0.0006328344345092774,5.434647309353832e-05,4,{'model__n_neighbors': 4},-6.705706787109375,-6.724055480957031,-14.566792297363282,-1.1094078063964843,-1.2705429077148438,-4.385899353027344,-1.6338386535644531,-5.072914886474609,-14.647505187988282,-11.941429901123048,-6.805809326171875,4.968024619716718,1,finbert_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0010655641555786133,0.0001231765101922316,0.000676107406616211,8.013849610418895e-05,5,{'model__n_neighbors': 5},-7.041836547851562,-6.656730346679689,-14.346079711914063,-1.3184228515625023,-1.987529907226559,-3.798715209960932,-1.8460241699218785,-4.589841308593748,-15.540872192382801,-11.493013000488286,-6.861906524658201,4.970444330656952,3,finbert_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.001220870018005371,9.534138383385797e-05,0.0006675481796264649,2.9136750126088066e-05,2,{'model__n_neighbors': 2},-6.376531982421875,-4.393470764160156,-9.188742065429688,-2.431280517578125,-1.402362060546875,-3.993540954589844,-3.4115585327148437,-4.853645324707031,-5.698828125,-4.280580139160156,-4.603054046630859,2.057605093490602,2,finbert_tone_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0011791944503784179,0.00010698558948257281,0.000690293312072754,7.683946738583482e-05,3,{'model__n_neighbors': 3},-5.900926717122405,-4.329671223958326,-10.788079833984375,-2.882402547200525,-1.3050323486328126,-4.107093302408851,-3.9925618489583314,-4.060098266601557,-6.2887766520182256,-4.654013570149738,-4.8308656311035145,2.3893534583057052,4,finbert_tone_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011398792266845703,8.263155952867765e-05,0.0006509304046630859,3.938452665879044e-05,4,{'model__n_neighbors': 4},-5.819785308837891,-5.06522216796875,-7.828370666503906,-3.223261260986328,-1.3124809265136719,-3.9726844787597657,-3.167729949951172,-3.548120880126953,-6.523167419433594,-4.790575408935547,-4.525139846801758,1.79053343074572,1,finbert_tone_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0010587453842163086,0.00010919909544862499,0.0006895780563354493,5.638980449357859e-05,5,{'model__n_neighbors': 5},-6.531010131835939,-5.38955017089844,-8.12364807128905,-3.6418884277343806,-1.3733618164062478,-3.933354492187493,-3.519413452148444,-3.638995971679691,-6.888656616210949,-4.636535339355464,-4.76764144897461,1.8865661062202257,3,finbert_tone_whole_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012247800827026368,8.665703311745681e-05,0.0006973981857299804,8.224759902952747e-05,2,{'model__n_neighbors': 2},-7.265940856933594,-7.969902038574219,-5.45509033203125,-1.442950439453125,-3.938134765625,-3.7651214599609375,-7.03563232421875,-7.062461853027344,-12.4126953125,-10.555451965332031,-6.690338134765625,3.083880895044513,4,finbert_tone_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0010790348052978516,5.342510843666751e-05,0.0006295680999755859,4.136932669781342e-05,3,{'model__n_neighbors': 3},-5.7132080078125,-7.6426971435546935,-5.6381947835286494,-0.8316182454427065,-1.6372416178385436,-3.8892669677734317,-6.892614746093744,-6.805228678385413,-11.279152425130206,-11.491686503092444,-6.182090911865233,3.3504370676941493,2,finbert_tone_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.001063704490661621,0.0001068368657097638,0.0006042242050170899,3.665635062077938e-05,4,{'model__n_neighbors': 4},-6.060240936279297,-7.981304168701172,-4.85174789428711,-1.4913131713867187,-3.3702163696289062,-2.733712005615234,-6.745128631591797,-6.5037994384765625,-10.530630493164063,-12.051176452636719,-6.231926956176758,3.1713532245600997,3,finbert_tone_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.001084589958190918,0.00011261130381857457,0.0006907701492309571,7.344716803975465e-05,5,{'model__n_neighbors': 5},-5.497049560546867,-7.971487426757813,-5.347215576171874,-1.1454681396484374,-4.284110107421884,-2.2394079589843785,-6.5843353271484375,-6.508466186523435,-10.078738403320324,-11.976093444824226,-6.163237213134768,3.1289292275766716,1,finbert_tone_whole_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012258529663085938,0.00011869099479213195,0.0006731986999511719,5.973555494042225e-05,2,{'model__n_neighbors': 2},-6.512356567382812,-7.374993896484375,-13.772575378417969,-2.923905944824219,-2.656202697753906,-4.652305603027344,-2.1587066650390625,-5.182624816894531,-15.168051147460938,-12.22100372314453,-7.262272644042969,4.552691778114833,4,finbert_tone_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.001120305061340332,8.54811205714845e-05,0.0006456375122070312,4.818851773244756e-05,3,{'model__n_neighbors': 3},-6.741070556640625,-7.484061686197919,-13.967574055989592,-1.5992248535156193,-2.336877441406256,-3.9605387369791685,-1.8651957194010436,-5.090745035807288,-15.37825927734375,-11.745936584472663,-7.016948394775393,4.8138092709087035,3,finbert_tone_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011458873748779296,0.00010610434683567091,0.0006709814071655274,9.937943321980181e-05,4,{'model__n_neighbors': 4},-6.705706787109375,-7.027957916259766,-13.968898010253906,-1.2209564208984376,-1.5045425415039062,-4.368231964111328,-1.9729415893554687,-4.905494689941406,-14.647505187988282,-11.401143646240234,-6.77233787536621,4.755742836852019,1,finbert_tone_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0011247158050537109,0.0001699416859237919,0.0006886959075927734,7.936239353572666e-05,5,{'model__n_neighbors': 5},-7.041836547851562,-6.978779296875001,-13.999042968749995,-1.3707763671875,-1.5117816162109363,-3.8340148925781192,-1.901154174804691,-4.641649169921874,-15.540872192382801,-11.503739929199224,-6.832364715576171,4.953081537665846,2,finbert_tone_whole_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012047529220581056,8.962949715995553e-05,0.0006408452987670899,2.9224993099381257e-05,2,{'model__n_neighbors': 2},-6.657133483886719,-4.14261474609375,-7.29195556640625,-5.730844116210937,-1.3576675415039063,-4.314334106445313,-4.263688659667968,-4.137570190429687,-7.1041748046875,-5.044331359863281,-5.004431457519532,1.6947087602223008,3,bert_topic_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.0010967254638671875,8.320924544958573e-05,0.0006294488906860351,2.1463088835386337e-05,3,{'model__n_neighbors': 3},-6.102537027994799,-5.484469604492188,-7.2946004231770925,-4.6658213297526006,-1.3725657145182253,-4.196478271484375,-4.501720174153644,-3.9435699462890623,-6.850916544596356,-5.100278218587244,-4.951295725504559,1.5939775971144037,1,bert_topic_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011285066604614258,0.00012081876727933461,0.0006412267684936523,3.8978666971180066e-05,4,{'model__n_neighbors': 4},-6.339842987060547,-5.190152740478515,-7.828370666503906,-4.442298889160156,-1.2926162719726562,-4.120171356201172,-4.589450836181641,-3.883814239501953,-7.288409423828125,-5.049296569824219,-5.00244239807129,1.769588948252626,2,bert_topic_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.0010628938674926759,0.00010883083194016594,0.0006544589996337891,6.189017514869018e-05,5,{'model__n_neighbors': 5},-7.002185668945311,-5.206314086914057,-8.721737670898426,-4.3890277099609305,-2.20047607421875,-3.893630371093758,-5.150991821289063,-3.7986993408203147,-7.677238159179689,-5.4302798461914055,-5.347058074951169,1.869531839507339,4,bert_topic_article_sentiment_df,10,5,0,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0013160943984985352,0.00013317859730414646,0.0007012367248535156,4.410625146870283e-05,2,{'model__n_neighbors': 2},-5.014181518554688,-7.876695251464843,-3.7923004150390627,-1.7210250854492188,-3.2541168212890623,-4.107763671875,-7.037615966796875,-4.275621032714843,-11.246707153320312,-11.315231323242188,-5.9641258239746096,3.1402977533860494,1,bert_topic_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.001293778419494629,8.02014904159423e-05,0.00070953369140625,4.9071270017167654e-05,3,{'model__n_neighbors': 3},-4.754070027669269,-7.618899536132818,-4.208412679036456,-2.486087036132807,-3.200823974609375,-3.2940246582031194,-6.999214680989581,-5.155900065104168,-10.890489705403644,-12.137912495930982,-6.074583485921222,3.1326411014236553,3,bert_topic_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
2,0.0011825323104858398,0.00010817802370307814,0.000656580924987793,3.5585831908289095e-05,4,{'model__n_neighbors': 4},-5.448468017578125,-7.448851776123047,-4.324751281738282,-1.6692947387695312,-3.731853485107422,-3.1895767211914063,-6.755062866210937,-5.84234619140625,-10.530630493164063,-12.651551055908204,-6.159238662719727,3.1956054543196224,4,bert_topic_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
3,0.001058506965637207,0.0001409394667555669,0.0006641864776611329,7.024426378306181e-05,5,{'model__n_neighbors': 5},-5.176190795898435,-7.890578613281252,-4.554389038085935,-1.0221124267578148,-2.4477294921875,-2.8611383056640647,-6.837000732421882,-6.346779785156258,-10.078738403320324,-12.531080017089852,-5.974573760986331,3.3719231604703324,2,bert_topic_article_sentiment_df,10,5,5,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
0,0.0012179136276245118,0.00010602568571727211,0.0006745100021362304,7.212470970156956e-05,2,{'model__n_neighbors': 2},-6.519296264648437,-6.155412292480468,-12.543077087402343,-2.34271240234375,-2.82178955078125,-4.665513610839843,-1.9795578002929688,-5.539456176757812,-14.319308471679687,-13.470419311523438,-7.035654296875,4.461296039516627,4,bert_topic_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
1,0.001222681999206543,9.451190646549807e-05,0.0006657123565673828,3.6339215160793566e-05,3,{'model__n_neighbors': 3},-6.967800903320312,-6.516989135742188,-13.967574055989592,-1.0715087890625057,-2.148485310872405,-4.114553833007813,-1.51485595703125,-4.399859619140625,-14.812430826822924,-13.1562494913737,-6.867030792236332,5.013936948109752,3,bert_topic_article_sentiment_df,10,5,30,neg_mean_absolute_error,"open,prev_high,prev_low,prev_close,positive,negative,neutral"
